Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,SQ_INSTS_VALU_MFMA_MOPS_I8,SQ_WAVES,Start_Timestamp,End_Timestamp
1730,1,256,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1731,19,155954.0,8192.0,0.0,0.0,0.0,0.0,4.0,4912602356223750.0,4912602356309510.0
1731,1,320,64,0,0,16,0,48,64,"void moe_kernels::router_topk_wave64_kernel<64>(float*, float const*, int*, float*, int, int, int, int, int, float)",1732,55,41187.0,0.0,0.0,0.0,0.0,0.0,5.0,4912602356448711.0,4912602356465831.0
1732,1,256,256,1024,0,12,4,64,64,"batch_decode_kernels::align_routes(int const*, int, int, int, int*, int*, int*)",1733,17,40658.0,0.0,0.0,0.0,0.0,0.0,4.0,4912602356569191.0,4912602356586152.0
1733,1,349184,256,19968,0,36,4,48,64,"void batch_decode_kernels::grouped_expert_gate_up<16, 1>(float const*, char const*, unsigned long const*, unsigned long const*, int const*, int const*, float*, unsigned short*, int, int, int, int, int)",1734,31,232264.0,2162688.0,0.0,0.0,0.0,0.0,5456.0,4912602356690152.0,4912602356826313.0
1734,1,11264,256,19968,0,32,0,48,64,"batch_decode_kernels::mfma_gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",1735,20,159064.0,720896.0,0.0,0.0,0.0,0.0,176.0,4912602356914633.0,4912602357003433.0
1735,1,507904,256,11264,0,24,0,48,64,"void batch_decode_kernels::grouped_expert_down<16, 1>(float const*, unsigned short const*, char const*, unsigned long const*, int const*, int const*, float*, int, int, int, int)",1736,32,140552.0,1081344.0,0.0,0.0,0.0,0.0,7936.0,4912602357144714.0,4912602357224074.0
1736,1,1280,256,0,0,12,4,32,64,"batch_decode_kernels::reduce_routes_add(float*, float const*, float const*, int, int, int)",1737,28,61829.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602357366315.0,4912602357395915.0
1737,1,8192,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1738,19,193893.0,360448.0,0.0,0.0,0.0,0.0,128.0,4912602357486316.0,4912602357595756.0
1738,1,1280,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",1739,36,33361.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602357713677.0,4912602357726477.0
1739,1,12288,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1740,19,141849.0,393216.0,0.0,0.0,0.0,0.0,192.0,4912602357832237.0,4912602357910637.0
