Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_LDS_BANK_CONFLICT,SQ_LDS_IDX_ACTIVE,SQ_WAVES,TCC_BUSY_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,Start_Timestamp,End_Timestamp
116,1,256,256,1024,0,24,0,32,64,"batch_decode_kernels::kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",117,33,28070.0,0.0,70.0,4.0,45843.0,509109.0,6423.0,4912630651447384.0,4912630651457304.0
117,1,524288,256,0,0,36,4,32,64,"batch_decode_kernels::q_absorb_rope(float*, float*, float const*, unsigned short const*, int, int, int, int, int, int, int, float const*, int)",118,41,36518.0,0.0,393216.0,8192.0,498956.0,2774996.0,1598623.0,4912630651614585.0,4912630651630265.0
118,1,1024,256,0,0,16,0,32,64,"batch_decode_kernels::attention_score(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",119,43,28629.0,0.0,768.0,16.0,80563.0,1150984.0,40997.0,4912630651786106.0,4912630651796346.0
119,1,4096,256,1024,0,20,4,48,64,"void attention_kernels::softmax_rows_kernel<256>(float*, int, int, int, int)",120,52,24538.0,0.0,2048.0,64.0,60309.0,1575304.0,44250.0,4912630651948986.0,4912630651956826.0
120,1,524288,256,0,0,16,0,32,64,"batch_decode_kernels::latent_context(float*, float const*, unsigned short const*, int, int, int, int, int, int)",121,26,28787.0,0.0,196608.0,8192.0,133358.0,2004746.0,832217.0,4912630652114267.0,4912630652124827.0
121,1,131072,256,0,0,20,4,32,64,"batch_decode_kernels::value_up(float*, float const*, unsigned short const*, int, int, int, int, unsigned long)",122,30,31463.0,0.0,98304.0,2048.0,370527.0,2252916.0,1200503.0,4912630652283868.0,4912630652296188.0
122,1,131072,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",123,38,48338.0,0.0,98304.0,2048.0,963337.0,4007734.0,3098429.0,4912630652455229.0,4912630652478269.0
123,1,256,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",124,36,33937.0,0.0,70.0,4.0,67428.0,588747.0,15971.0,4912630652638269.0,4912630652651869.0
124,1,4096,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",125,38,46446.0,0.0,3072.0,64.0,236876.0,3795444.0,436040.0,4912630652808830.0,4912630652829630.0
125,1,64,64,0,0,16,0,48,64,"void moe_kernels::router_topk_wave64_kernel<64>(float*, float const*, int*, float*, int, int, int, int, int, float)",126,57,39734.0,0.0,368.0,1.0,45669.0,661313.0,6410.0,4912630652982751.0,4912630652999551.0
