Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_FLAT,SQ_ACTIVE_INST_MISC,SQ_ACTIVE_INST_VALU,SQ_ACTIVE_INST_VMEM,SQ_THREAD_CYCLES_VALU,SQ_WAVES,Start_Timestamp,End_Timestamp
73,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,74,13,18913.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912532757362178.0,4912532757366818.0
74,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,75,13,23677.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912533285076782.0,4912533285083662.0
75,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,76,13,21936.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912533285151982.0,4912533285158382.0
76,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,77,13,18715.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912533285213742.0,4912533285218222.0
77,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,78,13,22865.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912533865737668.0,4912533865743908.0
78,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,79,13,22284.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912533865821988.0,4912533865827908.0
79,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,80,13,18897.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912533865891428.0,4912533865896068.0
80,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,81,13,24231.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912534400432340.0,4912534400439540.0
81,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,82,13,21234.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912534400512180.0,4912534400517940.0
82,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,83,13,19461.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912534400578100.0,4912534400582740.0
83,1,256,256,0,0,12,4,32,64,__amd_rocclr_fillBufferAligned,84,6,20887.0,1.0,41.0,51.0,0.0,2319.0,4.0,4912534961354817.0,4912534961360097.0
84,1,256,256,0,0,12,4,32,64,__amd_rocclr_fillBufferAligned,85,6,19518.0,2.0,37.0,45.0,0.0,2088.0,4.0,4912534961421537.0,4912534961426497.0
85,1,2048,256,0,0,8,0,32,64,"batch_decode_kernels::embedding(float*, unsigned short const*, int const*, int*, int, int, int, int)",86,44,20746.0,65.0,96.0,450.0,0.0,28674.0,32.0,4912534963680587.0,4912534963685387.0
86,1,256,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",87,33,32741.0,128.0,148.0,773.0,0.0,49151.0,4.0,4912534963744907.0,4912534963757867.0
87,1,233472,256,0,0,16,0,32,64,"batch_decode_kernels::dual_gemv(float*, unsigned short const*, int, float*, unsigned short const*, int, float const*, int, int)",88,35,72775.0,237120.0,259008.0,1601472.0,0.0,101345088.0,3648.0,4912534963814668.0,4912534963853228.0
88,1,256,256,1024,0,24,0,32,64,"batch_decode_kernels::kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",89,39,30227.0,36.0,110.0,435.0,0.0,25151.0,4.0,4912534963914828.0,4912534963926188.0
89,1,524288,256,0,0,36,4,32,64,"batch_decode_kernels::q_absorb_rope(float*, float*, float const*, unsigned short const*, int, int, int, int, int, int, int, float const*, int)",90,38,35745.0,41024.0,98432.0,1222240.0,0.0,73010688.0,8192.0,4912534963986828.0,4912534964002348.0
90,1,1024,256,0,0,16,0,32,64,"batch_decode_kernels::attention_score(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",91,41,27929.0,304.0,224.0,3408.0,0.0,204000.0,16.0,4912534964065549.0,4912534964075629.0
91,1,4096,256,1024,0,20,4,48,64,"void attention_kernels::softmax_rows_kernel<256>(float*, int, int, int, int)",92,51,26523.0,80.0,2672.0,2512.0,0.0,70672.0,64.0,4912534964718832.0,4912534964726832.0
